,Brand,Model,Variant,Manufacturing_Year,Driven_Kilometers,Fuel,Number_Of_Owners,Location,Price
0,Honda,City,V,2016,"46,948 Kms",Petrol,First,Chennai,7.45 Lakh
1,Toyota,Corolla Altis,1.8 J,2014,"72,497 Kms",Petrol,Second,Bangalore,8.25 Lakh
2,Honda,Brio,V MT,2015,"21,873 Kms",Petrol,First,Bangalore,4.89 Lakh
3,Hyundai,Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],2019,"17,916 Kms",Petrol,First,Kolkata,5 Lakh
4,Hyundai,Creta,1.6 S Petrol,2015,"27,598 Kms",Petrol,First,Bangalore,9.48 Lakh
5,Honda,CR-V,2.0L 2WD AT,2014,"66,245 Kms",Petrol,Second,Bangalore,12.99 Lakh
6,Renault,Duster,Adventure Edition 85 PS RxE 4X2 MT,2017,"16,536 Kms",Diesel,First,Bangalore,9.25 Lakh
7,Toyota,Innova,2.4 VX 8 STR [2016-2020],2018,"44,276 Kms",Diesel,First,Chennai,19.9 Lakh
8,Hyundai,i20 Active,1.2 S,2017,"21,957 Kms",Petrol,First,Kolkata,5.49 Lakh
9,Hyundai,Elite i20,Magna Plus 1.2 [2019-2020],2019,"11,720 Kms",Petrol,First,Kolkata,5.99 Lakh
10,Hyundai,Xcent,S 1.2,2018,"44,146 Kms",Petrol,First,Chennai,5.65 Lakh
11,Ford,Ecosport,Titanium 1.5L Ti-VCT AT,2016,"93,092 Kms",Petrol,Second,Chennai,5.9 Lakh
12,Maruti Suzuki,Eeco,5 STR WITH A/C+HTR [2019-2020],2017,"33,610 Kms",Petrol,Second,Chennai,3.9 Lakh
13,Maruti Suzuki,Baleno,Zeta 1.2 AT,2016,"39,358 Kms",Petrol,First,Kolkata,5.59 Lakh
14,Ford,Ecosport,Titanium + 1.5L Ti-VCT AT [2019-2020],2018,"19,916 Kms",Petrol,First,Chennai,8.9 Lakh
15,Hyundai,i10,Sportz 1.2 Kappa2,2014,"48,752 Kms",Petrol,First,Chennai,3.75 Lakh
16,Hyundai,Grand i10,Sports Edition 1.2L Kappa VTVT,2017,"35,855 Kms",Petrol,First,Bangalore,5.99 Lakh
17,Mahindra,XUV500,W11(O) [2018-2020],2019,"28,703 Kms",Diesel,First,Bangalore,18.25 Lakh
18,Ford,Ecosport,Titanium 1.5L TDCi,2017,"66,720 Kms",Diesel,First,Bangalore,8.45 Lakh
19,Kia,Seltos,GTX Plus 1.4 [2020-2021],2019,"2,368 Kms",Petrol,First,Bangalore,18.25 Lakh
20,Toyota,Fortuner,2.8 4x2 MT [2016-2020],2019,"22,700 Kms",Diesel,First,Bangalore,31.99 Lakh
21,Volkswagen,Polo,Highline Plus 1.0 (P) 16 Alloy,2018,"35,905 Kms",Petrol,First,Chennai,6.9 Lakh
22,Honda,Brio,S MT,2014,"49,910 Kms",Petrol,Second,Bangalore,4.25 Lakh
